controllerToClosetCandies,
,1.392058
,1.389665
,1.386413
,1.382484
,1.377964
,1.372394
,1.363014
,1.359223
,1.356395
,1.347528
,1.351232
,1.351376
,1.355348
,1.359657
,1.364313
,1.369286
,1.374056
,1.37854
,1.382003
,1.385123
,1.388446
,1.390018
,1.391394
,1.391633
,1.391532
,1.391287
,1.389201
,1.383608
,1.379591
,1.375627
,1.370172
,1.364204
,1.360587
,1.356884
,1.353456
,1.35454
,1.357727
,1.360626
,1.365332
,1.369071
,1.372015
,1.374373
,1.37712
,1.378182
,1.37815
,1.375839
,1.372408
,1.367533
,1.361865
,1.355035
,1.347806
,1.334551
,1.326448
,1.318677
,1.312763
,1.311024
,1.311604
,1.315263
,1.320946
,1.327541
,1.33308
,1.342151
,1.349052
,1.357183
,1.364314
,1.372204
,1.379702
,1.385993
,1.392161
,1.396177
,1.400387
,1.403585
,1.403788
,1.403601
,1.40115
,1.397061
,1.391964
,1.385799
,1.378227
,1.364484
,1.349729
,1.337271
,1.330285
,1.320994
,1.318095
,1.317975
,1.320186
,1.321177
,1.327923
,1.334153
,1.338906
,1.348019
,1.356445
,1.362765
,1.366668
,1.369448
,1.372784
,1.374877
,1.375594
,1.375665
,1.374894
,1.373656
,1.37083
,1.367614
,1.364039
,1.360586
,1.356532
,1.347678
,1.342711
,1.33582
,1.330308
,1.322535
,1.32007
,1.318246
,1.318211
,1.32008
,1.321816
,1.326098
,1.329317
,1.332595
,1.335316
,1.337827
,1.339383
,1.341533
,1.342978
,1.345439
,1.346449
,1.348749
,1.350459
,1.351685
,1.353424
,1.354891
,1.355634
,1.355952
,1.355509
,1.354359
,1.351797
,1.34944
,1.344695
,1.343585
,1.342791
,1.346016
,1.347693
,1.353045
,1.354967
,1.357255
,1.359741
,1.360711
,1.362067
,1.362352
,1.361556
,1.360651
,1.35892
,1.35668
,1.353604
,1.350642
,1.34643
,1.341707
,1.337069
,1.332305
,1.324058
,1.319671
,1.319556
,1.32115
,1.32722
,1.338408
,1.356096
,1.366009
,1.374712
,1.382081
,1.382213
,1.384623
,1.386273
,1.386781
,1.386425
,1.385089
,1.368718
,1.363886
,1.358783
,1.352936
,1.346701
,1.339638
,1.33357
,1.327628
,1.323465
,1.322941
,1.321078
,1.320661
,1.327173
,1.330069
,1.332615
,1.33686
,1.339894
,1.344135
,1.347311
,1.350474
,1.354277
,1.358279
,1.361588
,1.364479
,1.3675
,1.370805
,1.372334
,1.37353
,1.374534
,1.374862
,1.374657
,1.373738
,1.372224
,1.368954
,1.36436
,1.35856
,1.352131
,1.344968
,1.336654
,1.327593
,1.317577
,1.310884
,1.305581
,1.305119
,1.306844
,1.309699
,1.316867
,1.322049
,1.330148
,1.337823
,1.342908
,1.348789
,1.354396
,1.360228
,1.365415
,1.36885
,1.374069
,1.383638
,1.384808
,1.366511
,1.364714
,1.361818
,1.351511
,1.34824
,1.34168
,1.324228
,1.323188
,1.330754
,1.343833
,1.346607
,1.35071
,1.353119
,1.355739
,1.358851
,1.360367
,1.361324
,1.362659
,1.363101
,1.361395
,1.360265
,1.358123
,1.354398
,1.35011
,1.345261
,1.338523
,1.33122
,1.323125
,1.314392
,1.30546
,1.295934
,1.28558
,1.278691
,1.274415
,1.271628
,1.273952
,1.279456
,1.283426
,1.292678
,1.299161
,1.305518
,1.311435
,1.319766
,1.325299
,1.331982
,1.339205
,1.345148
,1.350868
,1.356087
,1.356212
,1.359247
,1.361874
,1.36173
,1.36173
,1.361722
,1.358844
,1.357233
,1.355597
,1.351375
,1.347693
,1.343582
,1.339097
,1.334587
,1.330375
,1.327095
,1.323947
,1.322304
,1.321573
